file_name,genre
54-mosaic-of-theodora.jpg,portrait
55-mosaic-of-theodora-1.jpg,portrait
56-mosaic-of-justinianus-i.jpg,portrait
65-emperor-iustinianus-and-his-suite.jpg,portrait
84-mosaic-of-a-woman-petra-church.jpg,portrait
87-mosaic-of-a-man-petra-church.jpg,portrait
102-alexandros-mosaic-hagia-sophia.JPG!Large.JPG,portrait
104-emperor-constantine-i-presenting-a-model-of-the-city-to-the-blessed-virgin-mary.jpg,portrait
166-empress-zoe-mosaic-hagia-sophia.jpg,"portrait,religious painting"
167-emperor-constantine-ix.jpg,portrait
168-empzoe.jpg,portrait
201-comnenus-mosaics-hagia-sophia.jpg,"religious painting,portrait"
202-byzantinischer-mosaizist-um-1118-002.jpg,portrait
203-byzantinischer-mosaizist-um-1122-001.jpg,"religious painting,portrait"
204-hagia-sofia-mosaic-virgin-and-child.JPG!Large.JPG,"religious painting,portrait"
220-gregory-illuminator.JPG,"religious painting,portrait"
221-istanbul-chiesa-pammacaristos-fetiye-camii-cupola-foto-g-dall-orto-26-5-2006.jpg,"religious painting,portrait"
222-istanbul-chiesa-pammacaristos-fetiye-camii-foto-g-dall-orto-26-5-2006.jpg,"religious painting,portrait"
223-istanbul-chiesa-pammacaristos-fetiye-camii-s-antonio-foto-g-dall-orto-26-5-2006.jpg,"religious painting,portrait"
224-gregor-von-nyssa.JPG!Large.JPG,"religious painting,portrait"
241-maria-of-the-mongols.jpg,portrait
246-isaac-komnenos-the-porphyrogennetos.jpg,portrait
254-day18c-120bc.jpg,portrait
579-pokrova-intercession-of-the-holy-virgin-with-the-portrait-of-hetman-bohdan-khmelnytsky-kyiv-region.jpg,"icon,portrait"
1200-gem-with-head-of-a-ruler-1st-cent-after-christ-1200.jpg,portrait
1205-cameo-with-head-of-ruler-2nd-cent-before-christ.jpg,portrait
1213-nero-cameo-1st-c-after-christ.jpg,portrait
1350-scipio-africanus.jpg,portrait
1558-portrait-of-emperor-sigismund-of-luxembourg-1433.jpg,portrait
1567-portrait-of-leonillo-d-este.jpg,portrait
1569-portrait-of-a-princess-of-the-house-of-este-1449.jpg,portrait
1621-matth-us-roritzer.jpg,portrait
1622-hans-holbein-d-veronika-vetter.jpg,portrait
1625-m-rlin-konrad-aa.jpg,portrait
1650-h-d-holbein-portrait-of-a-wife-of-an-unknown-stonemason-google-art-project.jpg,portrait
1652-hans-holbein-d-005.jpg,portrait
1653-laminit-hans-holbein-d-ae.jpeg!Large.jpeg,portrait
1654-hans-holbein-the-elder-ambrosius-and-hans-the-sons-of-the-artist-google-art-project.jpg,portrait
1659-hans-holbein-d-portrait-of-the-artist-s-sons-wga11482.jpg,portrait
1660-hans-holbein-l-ancien-portrait-de-femme.jpg,portrait
1666-hans-holbein-d-007.jpg,portrait
1668-leonhard-wagner-profil-nach-rechts-hans-holbein-d-ae.jpg,portrait
1669-hans-holbein-d-portrait-of-a-woman-wga11479.jpg,portrait
1670-hans-holbein-d-portrait-of-a-man-wga11480.jpg,portrait
1672-hans-holbein-i-portret-van-een-lid-van-de-weiss-familie-sg-457-st-del-museum.jpg,portrait
1761-leoniiqueengueraneandtheirfivechildren1272.jpg,"miniature,portrait"
1766-landesmuseum-w-rttemberg-stuttgart-mumienportraits-02.jpg,portrait
1767-landesmuseum-w-rttemberg-stuttgart-mumienportraits-04.jpg,portrait
1768-landesmuseum-w-rttemberg-stuttgart-mumienportraits-05.jpg,portrait
1769-periodo-romano-ritratto-maschile-per-mummia-arte-adrianea-120-130-dc-ca.JPG!Large.JPG,portrait
1770-panel-painting-of-a-woman-in-a-blue-mantle-met-dp310140.jpg,portrait
1771-fayum-04.jpg,portrait
1772-fayum-02.jpg,portrait
1773-mummy-with-an-inserted-panel-portrait-of-a-youth-met-dt202010.jpg,portrait
1774-metropolitan-mummy-with-portrait-of-a-youth-roman.jpg,portrait
1775-getty-villa-collection-5305528696.jpg,portrait
1776-arte-romano-egizia-mummia-di-herakleides-50-100-02.JPG!Large.JPG,portrait
1777-fayum-78.jpg,portrait
1778-fayum-08.jpg,portrait
1779-the-mummy-of-demetrios-95-100-c-e-11-600a-b.jpg,portrait
1780-fayum-66.jpg,portrait
1781-getty-villa-collection-5304932007.jpg,portrait
1782-portrait-of-a-young-woman-in-red-met-29i-e15r6.jpg,portrait
1783-fayum-59.jpg,portrait
1784-fayum-69.jpg,portrait
1785-mummy-portrait-of-a-young-man-google-art-project.jpg,portrait
1786-mumienportr-t-khm-x-300.jpg,portrait
1787-portrait-of-a-young-woman-with-a-gilded-wreath-met-eg54-09-181-7.jpg,portrait
1788-mummy-portrait-of-a-girl.jpg,portrait
1789-fragmentary-shroud-with-a-bearded-young-man-met-eg45-08-202-8.jpg,portrait
1790-portrait-of-a-noblewoman-google-art-project.jpg,portrait
1791-portrait-of-a-thin-faced-man-met-eg47-09-181-3.jpg,portrait
1792-getty-villa-collection-5305528064.jpg,portrait
1793-fayum-77.jpg,portrait
1794-mummy-portrait-of-a-boy-google-art-project.jpg,portrait
1795-unknown-mummy-portrait-of-a-young-woman-81-ap-29.jpg,portrait
1796-boy-with-a-floral-garland-in-his-hair-google-art-project.jpg,portrait
